"Wavelength","ATTO 488 EM","Cy3B EM","ATTO 565 EM","ATTO 590 EM","ATTO 610 EM","ATTO 647N EM","Alexa Fluor 514 EM","ATTO 740 EM","Alexa Fluor 700 EM","Janelia Fluor JF724-HaloTag conjugate EM"
475,0.00111515151757576
476,0.00091212120939394
477,0.000867099565930736
478,0.000980086587186147
479,0.00125108227316017
480,0.00173593077878788,,,,,,0.0011
481,0.00219047627619047,,,,,,0.0002
482,0.00287878798744588,,,,,,0.0013
483,0.00355411272207792,,,,,,0.0014
484,0.00450216464199134,,,,,,0.0014
485,0.00574025975930735,,,,,,0.0012
486,0.00735064948484847,,,,,,0.0017
487,0.00952813870346319,,,,,,0.0012
488,0.0123073593341991,,,,,,0.0013
489,0.0156580090948052,,,,,,0.001
490,0.0198787884502164,,,,,,0.001
491,0.0251774895116883,,,,,,0.001
492,0.0318701297359307,,,,,,0.0007
493,0.0401125546839826,,,,,,0.0008
494,0.0506623382380952,,,,,,0.0003
495,0.0632943726969696,,,,,,0.0001
496,0.0787575759004328,,,,,,0.0003
497,0.0980129864718613,,,,,,0.0011
498,0.120268399,,,,,,0.0016
499,0.146411256744589,,,,,,0.0026
500,0.176632035515151,,,,,,0.0032
501,0.210588748930736,,,,,,0.0043
502,0.248935069264069,,,,,,0.0056
503,0.29145454991342,,,,,,0.0072
504,0.33903463025974,,,,,,0.0093
505,0.390800855757575,,,,,,0.0121
506,0.443883106493506,,,,,,0.0145
507,0.499835487316017,,,,,,0.0195
508,0.556874443722943,,,,,,0.0234
509,0.613852805714285,,,,,,0.0292
510,0.669666662857142,,,,,,0.0366
511,0.7235974004329,,,,,,0.0444
512,0.774181816839826,,,,,,0.0555
513,0.820688307056276,,,,,,0.0669
514,0.862025970259739,,,,,,0.0811
515,0.899025970606059,,,,,,0.0969
516,0.93023376164502,,,,,,0.1146
517,0.957233765757574,,,,,,0.1358
518,0.976445893506492,,,,,,0.163
519,0.98997403181818,,,,,,0.1908
520,0.995822517359306,0.0054,,,,,0.2212
521,0.998398268528137,0.0054,,,,,0.2563
522,0.997095234718613,0.0054,,,,,0.291
523,0.990090904805193,0.0054,,,,,0.3357
524,0.979134198961038,0.0054,,,,,0.3789
525,0.96645022151515,0.0054,,,,,0.4198
526,0.949510835281384,0.0054,,,,,0.467
527,0.929558448917748,0.0054,,,,,0.516
528,0.906978359567098,0.0054,,,,,0.5648
529,0.884506499999999,0.0054,,,,,0.6174
530,0.860844163809523,0.0054,,,,,0.6679
531,0.834489189826839,0.0072,,,,,0.7145
532,0.807393955670995,0.009,0.00100606060666667,,,,0.7629
533,0.781160193376622,0.009,0.000951515146666666,,,,0.8036
534,0.754727287835497,0.009,0.00095541125095238,,,,0.8447
535,0.72790044099567,0.0108,0.00101774891952381,,,,0.884
536,0.701415594935064,0.0125,0.00113852815238095,,,,0.9102
537,0.675692649696969,0.0143,0.00128138532770563,,,,0.9426
538,0.650770561991341,0.0179,0.00150649355411255,,,,0.9609
539,0.62638095103896,0.0197,0.00196969703593073,,,,0.983
540,0.602160168095237,0.0197,0.00245021657099567,,,,0.9909
541,0.580021643809523,0.0233,0.00287878798138528,,,,0.9962
542,0.558783544718614,0.0322,0.00347619054675324,,,,0.9978
543,0.539199129437229,0.0357,0.00432900447662337,,,,1
544,0.519987012640692,0.0393,0.00538961053766233,,,,0.9851
545,0.502857136709956,0.0465,0.00652380965714285,,,,0.9839
546,0.48634631047619,0.0573,0.0080389612090909,,,,0.9673
547,0.470744579783549,0.0716,0.00997402596536795,,,,0.9478
548,0.455727267922077,0.0858,0.0121471859294372,,,,0.9339
549,0.442160174242424,0.102,0.0147316015307359,,,,0.915
550,0.429017314761904,0.1253,0.0180735930294372,,,,0.8897
551,0.417571429047618,0.1485,0.0221212120787878,,,,0.8667
552,0.406432901125541,0.1861,0.027090909008658,,,,0.8444
553,0.396471859047619,0.2147,0.0329090904848484,,,,0.8192
554,0.386636365194805,0.2522,0.039787879034632,,,,0.7937
555,0.376848484199134,0.2988,0.0477142859437229,,,,0.7704
556,0.367441559350649,0.3345,0.0571645030216449,0.00110909092,,,0.7491
557,0.357999999134199,0.4007,0.0682597417272726,0.000960606056666667,,,0.7214
558,0.34854978090909,0.4616,0.081341993069264,0.000887878776666667,,,0.6972
559,0.339705629480519,0.5242,0.096645022177489,0.00089090908,,,0.6706
560,0.330939393939393,0.5743,0.114160174709957,0.000969696966666665,,,0.6514
561,0.3222987004329,0.6476,0.133926408757576,0.00113852815238095,,,0.6291
562,0.313709956926406,0.712,0.155896105506493,0.00128138532770563,,,0.6098
563,0.305424241904761,0.771,0.180177492974026,0.00159740266320346,,,0.5869
564,0.297225109870129,0.8247,0.207034635454545,0.00190909096320346,,,0.5698
565,0.289000002034632,0.8837,0.236177491515151,0.00228138536839827,,,0.5529
566,0.280683986666666,0.9124,0.267805194718614,0.0027359308008658,,,0.5335
567,0.272454553852813,0.9463,0.301987011558441,0.00325108228268398,,,0.517
568,0.264489182337662,0.9714,0.338419914155844,0.00404761906493506,,,0.5001
569,0.255969699826839,0.9875,0.377272731731601,0.00487878799047618,,,0.4876
570,0.247740261731601,0.9964,0.417852817402597,0.00587878801688311,,,0.4735
571,0.23970562995671,1,0.460112562987012,0.00704761917705627,,,0.4631
572,0.23157576073593,1,0.503588747489177,0.00816017316406925,,,0.4521
573,0.223623378917749,1,0.547623377056276,0.00952380976666665,,,0.4406
574,0.215424245844156,0.9928,0.591870133203462,0.0112683984004329,0.00110909092,,0.4287
